100,NEM12,201707000000,WPNTWRKS,IDMPMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,8002180729,B1E1K1Q1T1,1,E1,,413000895,kWh,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,20170605,18.24,18.032,18.304,18.32,18.048,18.256,18.272,18.384,18.256,17.776,17.776,18.352,18.288,18.24,10.448,10.048,8.208,6.704,4.656,3.28,3.04,2.528,1.872,1.712,1.68,1.824,1.984,2.64,3.456,4.896,5.456,3.424,2.32,3.648,4.192,4.032,11.968,12.368,13.584,12.224,12.288,12.368,12.832,12.304,12.24,12.32,12.192,11.856,A
300,20170606,12.352,12.448,12.272,12.224,12.416,12.336,11.872,12.704,12.16,12.864,13.936,26.048,27.744,29.408,25.936,25.296,25.632,18.032,11.008,9.312,7.888,7.568,6.064,6.512,7.696,8,6.384,11.696,9.552,9.984,12,11.264,11.968,12.752,12.272,10.624,16.72,12.144,12.064,12.24,14.144,14.512,14.112,14.16,13.52,12.72,12.656,12.192,A
300,20170607,12.592,12.128,11.952,12.112,12.384,12.448,12.336,12.688,12.784,12.752,12.72,16.448,23.984,27.872,20.832,24.528,21.04,19.92,20.08,18.192,16.464,15.28,14.544,11.968,13.072,13.824,14.176,15.568,14.128,15.52,16.368,18.288,19.104,17.616,12.736,12,12.592,12.896,12.72,12.592,12.288,12.24,12.56,12.448,12.512,12.752,12.592,12.56,A
300,20170608,12.624,12.576,12.912,12.608,12.848,12.432,12.512,12.912,12.528,12.48,12.704,15.664,29.904,29.552,23.072,23.056,21.872,21.04,18.336,16.96,16.304,15.408,13.872,14.192,5.04,4.816,4.736,5.088,6.096,7.472,8.32,9.488,10.736,7.2,5.056,4.656,12.208,12.656,12.144,12.048,14.144,14.048,14.528,14.912,14.4,13.952,12.624,12.816,A
300,20170609,12.288,12.48,12.16,12.384,12.448,12.368,12.672,12.512,12.576,12.752,12.512,17.424,23.712,25.936,20.512,20.432,17.92,16.416,13.52,12.224,11.424,10.784,9.536,12.144,9.584,10.208,10.928,12.544,12.672,13.088,14.032,14.624,15.424,9.456,8.432,7.472,11.968,12.256,12.208,12.464,12.096,12.24,12.16,12.56,12.352,12.688,12.432,12.64,A
300,20170610,12.848,12.576,12.736,12.352,12.784,12.368,12.816,12.704,12.672,13.36,18.096,17.92,17.664,17.904,9.184,8.944,8.24,7.056,5.808,6.048,4.32,2.976,1.456,0,0,0,0,0,0.048,0.96,0.224,1.296,2.832,4.512,5.648,6.32,13.92,14.448,13.6,12.432,12.56,12.176,12.496,12.208,12.72,12.384,12.544,12.192,A
300,20170611,12.528,12.24,12.528,11.824,12.08,12.304,12.288,12.864,12.128,12.528,12.256,12.416,12.432,12.16,4.144,3.488,2.528,1.888,1.312,1.072,0,0,0,0,0,0,0.224,0.16,0,0.016,0,2.304,3.104,3.344,4.064,3.744,11.856,12.24,12.272,12.4,12.176,12.208,12.48,12.32,12.464,12.704,12.256,12.56,A
300,20170612,12.272,12.48,12.448,12.656,12.72,12.192,12.64,12.64,12.608,12.64,12.864,16.064,27.376,30.944,23.472,27.456,27.088,23.856,21.2,20.72,10.528,5.44,6.752,16.32,12.64,7.728,6.896,7.328,7.184,9.392,10.656,12.416,10.496,8.256,5.36,4.736,13.344,13.472,13.28,12.96,12.928,12.96,13.12,13.168,13.472,13.216,13.328,13.488,A
300,20170613,13.344,13.584,13.024,13.024,13.136,12.992,13.472,13.472,13.616,13.376,14.016,20.608,27.328,31.2,23.056,23.488,22.64,17.168,9.072,7.824,7.104,6.848,7.776,8.528,8.128,8.288,9.472,11.072,11.792,13.568,15.984,15.392,13.056,17.264,11.28,4.736,12.48,12.288,13.952,14.64,14.736,14.704,14.448,13.488,13.152,12.896,12.608,12.48,A
300,20170614,12.656,12.832,12.848,12.784,12.832,12.8,13.12,16.144,23.472,23.632,24.304,31.072,31.712,32.272,26.192,27.184,26.512,25.376,24.048,22.912,20.576,17.44,18.544,20.336,17.552,16.64,21.808,22.32,20.208,24.928,24.208,22.176,16.64,16.704,15.424,16.576,22.256,15.456,12.208,12.24,12.176,12.288,12.32,12.56,12.64,12.544,12.208,12.64,A
300,20170615,12.736,12.608,12.688,12.4,12.208,12.384,12.128,12.624,14.416,16.416,16.112,21.312,24.8,23.536,19.456,21.84,19.408,20.432,17.76,16.688,15.12,16.432,13.824,16.88,15.424,17.072,18.736,18.448,17.232,6.8,7.216,7.664,10.448,8.848,8.816,8.176,15.472,12.368,12.176,12.576,14.032,14.752,14.256,14.688,15.392,14.56,12.864,12.896,A
300,20170616,12.864,12.432,12.64,12.896,12.944,13.024,12.64,12.672,12.752,12.512,12.608,16.896,25.952,32.72,26.64,27.248,26.064,20.704,12.336,10.48,8.896,7.712,6.736,5.92,6.736,6.368,4.64,5.76,7.824,7.36,7.984,6.736,6.288,6.288,6.048,10.272,19.024,18.848,17.696,14.624,13.376,13.456,12.88,13.328,13.392,12.976,13.456,13.472,A
300,20170617,13.088,13.392,13.168,13.248,12.688,13.152,13.376,13.68,13.616,13.52,13.664,13.488,13.536,13.44,5.2,4.992,4,2.144,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.384,2.032,3.68,4.144,4.48,12.096,12.576,12.112,12.624,12.352,12.512,12.32,12.688,12.4,12.704,12.672,12.656,A
300,20170618,12.752,12.128,12.8,12.656,12.464,12.688,12.496,12.752,12.848,12.4,12.864,12.768,12.688,12.4,4.256,3.888,2.304,0.72,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0.144,1.456,2.976,4.032,3.824,14.848,14.832,14.72,13.408,13.232,12.928,12.384,12.832,12.944,12.592,12.624,13.024,A
300,20170619,12.752,12.544,12.576,12.704,12.8,12.752,12.608,12.528,12.688,12.496,13.216,19.36,26.832,32.336,25.744,28.672,27.68,25.008,23.424,21.2,19.392,18.4,18.592,18.4,18.432,17.76,18.272,16.24,16.368,21.232,20.496,21.408,22.08,7.296,4.848,4.752,12.4,12.56,12.864,12.352,12.512,12.704,12.72,12.928,13.088,12.64,13.104,12.752,A
